ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-11-27T09:41:38.365395500Z,P1_Mouse,ba827e5d,T1_Add,persist,success,10,201,on
2025-11-27T09:41:46.541890500Z,P1_Mouse,9a548ed3,T3_Delete,persist,success,1,200,on
2025-11-27T09:44:27.037988600Z,P2_Keyboard,fe61629d,T1_Add,persist,success,12,201,on
2025-11-27T09:44:41.492445800Z,P2_Keyboard,d9f711b8,T3_Delete,persist,success,2,200,on
2025-11-27T09:46:05.301071900Z,P3_Mouse,02b977d1,T1_Add,persist,success,2,201,on
2025-11-27T09:46:06.754112700Z,P3_Mouse,948395cb,T1_Add,persist,success,1,201,on
2025-11-27T09:46:16.329602500Z,P3_Mouse,e94b66f2,T3_Delete,persist,success,0,200,on
2025-11-27T09:46:18.844935Z,P3_Mouse,b14fefc5,T3_Delete,persist,success,1,200,on
2025-11-28T03:18:14.547337300Z,anonymous,09376851,T1_Add,persist,success,11,201,on
2025-11-28T03:18:17.224652300Z,anonymous,8400440f,T1_Add,persist,success,1,201,on
2025-11-28T03:18:36.202801400Z,anonymous,dc50abe6,T3_Delete,persist,success,2,200,on
2025-11-28T03:18:37.759715200Z,anonymous,461afa62,T3_Delete,persist,success,0,200,on
2025-11-30T22:42:10.232053Z,anonymous,e7315c27,T2_Edit,click_edit,success,0,200,on
2025-11-30T22:43:46.096778400Z,anonymous,65e66407,T2_Edit,click_edit,success,0,200,on
2025-11-30T22:43:51.208633600Z,anonymous,d3ce8a61,T2_Edit,persist_update,success,3,200,on
2025-12-01T02:00:33.840201200Z,anonymous,6db79841,T1_Add,persist,success,22,201,on
2025-12-01T02:00:35.302507700Z,anonymous,7b019ffe,T1_Add,persist,success,1,201,on
2025-12-01T02:00:43.699148100Z,anonymous,e5d8b930,T1_Add,persist,success,1,201,on
2025-12-01T02:00:45.850696200Z,anonymous,c481a1f5,T2_Edit,click_edit,success,0,200,on
2025-12-01T02:00:47.858868400Z,anonymous,b2518502,T3_Delete,persist,success,1,200,on
2025-12-01T02:00:49.178377800Z,anonymous,56563727,T3_Delete,persist,success,1,200,on
2025-12-01T02:00:51.624988100Z,anonymous,bc32ba00,T3_Delete,persist,success,1,200,on
2025-12-01T02:00:52.854815300Z,anonymous,b9ad8a19,T3_Delete,persist,success,1,200,on
2025-12-01T02:00:54.685930Z,anonymous,cd1da1b1,T1_Add,persist,success,1,201,on
2025-12-01T02:01:00.932810500Z,anonymous,b2f25ede,T3_Delete,persist,success,1,200,on
2025-12-01T02:01:04.182014800Z,anonymous,9a32941a,T1_Add,persist,success,1,201,on
2025-12-01T02:01:08.697496100Z,anonymous,80ecab09,T3_Delete,persist,success,1,200,on
2025-12-01T02:02:15.799032Z,anonymous,37425d23,T1_Add,persist,success,0,201,on
2025-12-01T02:02:20.760387800Z,anonymous,ad311159,T3_Delete,persist,success,1,200,on
2025-12-01T02:02:26.215413900Z,anonymous,93d7e0c8,T1_Add,persist,success,1,201,on
2025-12-01T02:02:29.341839100Z,anonymous,05ec76a3,T3_Delete,persist,success,1,200,on
2025-12-01T02:02:32.116345800Z,anonymous,39664071,T3_Delete,persist,success,1,200,on
2025-12-01T02:02:33.193684900Z,anonymous,5ad01884,T3_Delete,persist,success,1,200,on
2025-12-01T02:30:07.129680Z,anonymous,295053ef,T1_Add,persist,success,17,201,on
2025-12-01T02:30:19.891582300Z,anonymous,1a7ed633,T1_Add,persist,success,1,201,on
2025-12-01T02:30:21.225097600Z,anonymous,8cdcf9d7,T1_Add,persist,success,1,201,on
2025-12-01T02:30:30.366087Z,anonymous,68b7ee1f,T3_Delete,persist,success,2,200,on
2025-12-01T02:30:31.368247700Z,anonymous,8af4fbb3,T3_Delete,persist,success,1,200,on
2025-12-01T02:30:31.905504500Z,anonymous,0c3777fe,T3_Delete,persist,success,1,200,on
2025-12-01T02:31:28.159013500Z,anonymous,ce22835e,T2_Edit,click_edit,success,0,200,on
2025-12-01T02:36:58.024282900Z,anonymous,843a7158,T1_Add,persist,success,20,201,on
2025-12-01T02:37:06.207049900Z,anonymous,23d157de,T1_Add,persist,success,2,201,on
2025-12-01T02:37:07.100353Z,anonymous,cae9c334,T1_Add,persist,success,1,201,on
2025-12-01T02:37:10.099086600Z,anonymous,4cdffa9f,T1_Add,persist,success,2,201,on
2025-12-01T02:37:10.891654600Z,anonymous,c3158191,T1_Add,persist,success,1,201,on
2025-12-01T02:37:14.797803700Z,anonymous,d024346f,T3_Delete,persist,success,2,200,on
2025-12-01T02:37:15.940568300Z,anonymous,d1845c46,T3_Delete,persist,success,1,200,on
2025-12-01T02:37:16.465568400Z,anonymous,c4c172e1,T3_Delete,persist,success,0,200,on
2025-12-01T02:37:17.340337Z,anonymous,b8fbf1f8,T3_Delete,persist,success,2,200,on
2025-12-01T02:37:17.961472200Z,anonymous,c0cb8988,T3_Delete,persist,success,1,200,on
2025-12-01T02:37:22.661332300Z,anonymous,63f989fb,T1_Add,persist,success,1,201,on
2025-12-01T02:37:23.875503300Z,anonymous,8a7b6b14,T1_Add,persist,success,0,201,on
2025-12-01T02:38:21.802253600Z,anonymous,7ce7d561,T1_Add,persist,success,1,201,on
2025-12-01T02:38:29.855167800Z,anonymous,ed50426e,T1_Add,persist,success,1,201,on
2025-12-01T02:38:30.956874400Z,anonymous,f29a0b64,T1_Add,persist,success,1,201,on
2025-12-01T02:38:31.857897100Z,anonymous,851cbf29,T1_Add,persist,success,1,201,on
2025-12-01T02:38:32.430705200Z,anonymous,860d3c39,T1_Add,persist,success,1,201,on
2025-12-01T02:38:37.862643400Z,anonymous,8763251e,T3_Delete,persist,success,0,200,on
2025-12-01T02:38:38.340714100Z,anonymous,9dea998c,T3_Delete,persist,success,0,200,on
2025-12-01T02:38:38.745250700Z,anonymous,b3cfd45f,T3_Delete,persist,success,1,200,on
2025-12-01T02:38:39.096857300Z,anonymous,0c7be400,T3_Delete,persist,success,0,200,on
2025-12-01T02:38:39.583501100Z,anonymous,df900c88,T3_Delete,persist,success,1,200,on
2025-12-01T02:38:40.027823800Z,anonymous,2bc9a132,T3_Delete,persist,success,0,200,on
2025-12-01T02:38:40.629904700Z,anonymous,59d3c5c0,T3_Delete,persist,success,1,200,on
2025-12-01T02:49:26.127033400Z,anonymous,302da72e,T1_Add,persist,success,4,201,on
2025-12-01T02:49:34.223338300Z,anonymous,6d9fb73e,T1_Add,persist,success,1,201,on
2025-12-01T02:49:35.821592100Z,anonymous,3a27edcd,T3_Delete,persist,success,2,200,on
2025-12-01T02:49:36.533050Z,anonymous,74e34f05,T3_Delete,persist,success,1,200,on
2025-12-01T02:49:48.336234400Z,anonymous,704bf0aa,T1_Add,persist,success,1,201,on
2025-12-01T02:49:50.458498700Z,anonymous,e641a6f2,T3_Delete,persist,success,1,200,on
2025-12-01T02:49:55.420083300Z,anonymous,77a4f0e3,T1_Add,persist,success,0,201,on
2025-12-01T02:55:24.645628200Z,anonymous,b3796178,T3_Delete,persist,success,6,200,on
2025-12-01T02:55:26.853902500Z,anonymous,fbdbd5b0,T1_Add,persist,success,1,201,on
2025-12-01T02:55:29.580895400Z,anonymous,341b78d7,T1_Add,persist,success,0,201,on
2025-12-01T02:55:29.960018500Z,anonymous,9d231067,T1_Add,persist,success,2,201,on
2025-12-01T02:55:31.542965700Z,anonymous,1edfae5a,T3_Delete,persist,success,1,200,on
2025-12-01T02:55:31.990278900Z,anonymous,3ad52a0f,T3_Delete,persist,success,1,200,on
2025-12-01T02:55:38.710683200Z,anonymous,45987259,T1_Add,persist,success,0,201,on
2025-12-01T02:55:40.205958700Z,anonymous,5724dc60,T3_Delete,persist,success,2,200,on
2025-12-01T02:59:45.781800800Z,anonymous,db45e81b,T3_Delete,persist,success,4,200,on
2025-12-01T02:59:48.148588400Z,anonymous,af269105,T1_Add,persist,success,1,201,on
2025-12-01T02:59:49.983203700Z,anonymous,5a77fc45,T3_Delete,persist,success,1,200,on
2025-12-01T02:59:51.753058200Z,anonymous,a854baf0,T1_Add,persist,success,1,201,on
2025-12-01T02:59:56.107901700Z,anonymous,b2a7c6be,T3_Delete,persist,success,1,200,on
2025-12-01T03:00:01.365995800Z,anonymous,1aeac5a3,T1_Add,persist,success,1,201,on
2025-12-01T03:00:03.219185200Z,anonymous,49e7fc20,T3_Delete,persist,success,1,200,on
2025-12-01T03:00:08.587812Z,anonymous,23574ec5,T1_Add,persist,success,0,201,on
2025-12-01T03:00:10.418814900Z,anonymous,f64c221c,T3_Delete,persist,success,1,200,on
2025-12-01T03:00:23.352965300Z,anonymous,679a5c9a,T1_Add,persist,success,2,201,on
2025-12-01T03:00:57.823812200Z,anonymous,91c4e86d,T3_Delete,persist,success,0,200,on
